code,name
P07 S060799,Haulage efficiency and modernisation projects
P07 S060802,DVO-LRI
P07 S060803,DVLA Trading Fund
P07 S060805,DVO Strategy & Resources
P07 S061005,Channel Tunnel Rail Link
P07 S090400,Civil defence
P07 S500002,Spending Review 2004
P07 S500003,RPROJ-Channel Tunnel Rail Link (CTRL)
P07 S500006,National Freight Company Pensions Funds
P07 S500008,FP-Network Rail
P07 S500009,RPROJ-Capital Rail Projects
P07 S500010,RSD-Rail Franchising
P07 S500011,BRB Historic Pension Liabilities
P07 S500012,National Freight Co - Travel Concessions
P07 S500013,FP-Pensions
P07 S500014,RSSR-Research and Support
P07 S500018,Rail Passengers Council
P07 S500030,Government Car and Despatch Agency
P07 S500039,FP-British Railways Board (Residuary)
P07 S500043,London and Continental Railways Expenditure
P07 S500044,London and Continental Railways Expenditure
P07 S500045,Cycling England Initiative
P07 S500056,Shared Service Programme
P07 S500068,RSSR - CTRL
P07 S500069,FP - SPRS
P07 S500100,HA-Making Better Use (of the Network)
P07 S500101,HA - Traffic Management
P07 S500102,HA - Maintenance
P07 S500103,HA - Regional Major Improvements
P07 S500104,HA - Associated Costs of Investment
P07 S500108,Renewable Fuels Agency (NDPBs costs)
P07 S500109,HA - Capital Programme
P07 S500203,Rail Heritage Committee
P07 S500204,HR Programme Expenditure
P07 S500205,Shared Services Programme Expenditure
P07 S500206,Finance & Estates programme expenditure
P07 S500211,DfT c Infrastructure Investment
P07 S999991,Infracos
P07 S999993,GNER
P07 S999998,LU CAPEX
P08 S061105,Implementing Planning Reforms
P08 S061106,Housing & Planning Delivery Grant
P08 S061107,E-Planning
P08 S070103,HRAS - Housing Revenue Account Subsidy
P08 S070106,GAP funding for Larg
P08 S070205,Housing Corporation
P08 S070212,Housing Corporation Board remuneration and pensions
P08 S070213,The National Approved Letting scheme
P08 S070403,DFGs - Disabled Facilities Grants
P08 S070404,Housing defects grants
P08 S070405,PHR - Private Housing Renewal
P08 S070702,Residential Property Tribunal Service
P08 S070703,Housing Mobility Services
P08 S070704,Housing Management
P08 S070710,Sustainable Buildings
P08 S070712,Gypsy site grant
P08 S070715,Leasehold Advisory Services
P08 S070716,Valuation Office Agency Right to buy charges
P08 S070717,Capacity Building & Efficiency Improvements in Housing
P08 S070720,Homelessness and Housing Reform
P08 S070721,Tenancy deposit scheme
P08 S070722,Supporting people Administration
P08 S070723,Home buying and Selling
P08 S070724,Choice Based Lettings
P08 S070725,Starter Homes Initiative
P08 S070726,Safer Commities Supported Housing Fund
P08 S070727,CABE (Commission for Architecture and the Built Environment)
P08 S070728,Housing Market Renewal Fund
P08 S070732,Black and Minority Ethnic Registered Social Landlords
P08 S070734,Best Intervention in Housing
P08 S070735,Private Landlords in Low Demand Areas
P08 S070736,Payments to the Audit Commission for RSL Inspections
P08 S070738,New Growth Points
P08 S070740,National Housing and Planning Advice Unit DEL CG Eng Voted
P08 S070741,Procurement Efficiency and Social Housing
P08 S070742,Landlord Licensing and Safety Ratings
P08 S070803,Arms Length Management Organisations
P08 S071001,HRA: Acquisition of land and dwellings and Receipts from sales
P08 S071003,HRA: Provision of new dwellings
P08 S071301,Efficient geographic & stats data gather & share
P08 S071302,Ordnance Survey Trading Fund
P08 S080214,ERDF Expense (ODPM)
P08 S080215,ERDF Losses and Write-offs etc.
P08 S080216,INTERREG
P08 S080218,Trees and High Hedges
P08 S080220,Fire Publicity
P08 S080221,Compensations Claims for late payments to LA's
P08 S080222,Housing Design Awards
P08 S080224,PO8 SO80224 Analytical Services
P08 S080225,Academy for Sustainable Communities'
P08 S080226,Liveability Fund
P08 S080227,Thames Gateway (Direct Funding)
P08 S080228,Other Growth Areas (Direct Funding)
P08 S080229,PO8 SO80229 New Horizons Research
P08 S080231,Thames Gateway (SEEDA)
P08 S080233,Thames Gateway: EP/URA
P08 S080234,Other Growth Areas (SEEDA)
P08 S080236,Other Growth Areas :EP/URA
P08 S080237,Living Spaces
P08 S080238,Thames Gateway: Thurrock UDC
P08 S080239,Thames Gateway (EEDA)
P08 S080240,Thames Gateway (Housing Corp)
P08 S080242,Planning Land use Statistics (Research)
P08 S080243,Thames Gateway London UDC
P08 S080244,National Register of Social Housing (NROSH)
P08 S080245,Other Growth Areas: West Northants UDC
P08 S080246,Green Flags
P08 S080247,Joint Liveability Programmes
P08 S080503,Regional Development Agencies - ODPM Support
P08 S080506,Regional chambers
P08 S080508,Elected regional assemblies
P08 S080601,Central administration
P08 S080604,Mersey Basin
P08 S080614,National non-domestic rate payments - collection costs
P08 S080616,Valuation Office Agency
P08 S080617,Valuation tribunals
P08 S080631,Groundwork
P08 S080640,PSA services: central
P08 S080644,QE2 Conference Centre Agency
P08 S080647,QEII Conf Centre Executive Agency Trading Fund Short Term Loans
P08 S080649,NDC - New Deal for Communities
P08 S080650,Coalfields Regeneration Trust
P08 S080653,Government Offices Administration
P08 S080661,Safer and Stronger Communities and New Ventures Fund
P08 S080662,Central Admin: Outside Admin Costs Limit
P08 S080663,PINS Admin:  Outside Admin Costs Limit
P08 S080664,Government Offices Admin:  Outside Admin Costs Limit
P08 S080665,Rent officer services and pensions liabilities
P08 S080666,Local Area Agreements - Expenditure
P08 S080815,Special grants programme
P08 S080818,PO8 SO80818 HPG Communications
P08 S080908,EP - Commission for the New Towns
P08 S081044,Local Government Publicity
P08 S081046,GLA Preparation Costs
P08 S081055,DEPARTMENTAL UNALLOCATED PROVISION
P08 S081056,Local Government Standards Board
P08 S081057,BEST VALUE INSPECTORATE
P08 S081061,Best Value intervention costs
P08 S081062,LGC mapping costs
P08 S081065,Local Government ON LINE
P08 S081073,CAPACITY BUILDING
P08 S081103,EP : Urban Regeneration Agency
P08 S081107,HATs - Housing Action Trusts
P08 S081202,Local government research
P08 S081204,Electoral Law PBC (Parliamentary Boundary Commission)
P08 S081205,Local Government Review Costs
P08 S081301,Fire Service Statistics
P08 S081302,FRS Improvement Programme
P08 S081304,Fire Service College
P08 S081305,Fire Superannuation
P08 S081306,Fire Pay Dispute
P08 S081307,Firelink
P08 S081308,New Dimension - Mass Decontamination
P08 S081309,New Dimension - Search & Rescue
P08 S081310,Emergency Fire Service
P08 S081311,Medical Appeals
P08 S081313,New Dimension Search & Rescue (CMF AA = 101)
P08 S081314,Firelink (CMF AA = 101)
P08 S081316,Control Rooms
P08 S500021,Local Enterprise Growth Initiative
P08 S500024,Firebuy
P08 S500031,Independent Housing Ombudsman Limited
P08 S500035,Commission for Equality and Human Rights
P08 S500036,Community Policy
P08 S500037,Community Development Foundation
P08 S500058,Adults Facing Chronic Exclusion
P08 S500059,Community Infrastructure Fund
P08 S500060,Olympics Contributions
P08 S500062,Tackling Extremism
P08 S500063,Floods Recovery
P08 S500064,Community Empowerment
P08 S500065,Implementing EU Energy Performance of Building Directive & HIPs
P08 S500072,ERDF - NE New Programmes
P08 S500073,ERDF - NW New Programmes
P08 S500074,ERDF - Eastern New Programmes
P08 S500075,ERDF - SE New Programmes
P08 S500076,ERDF - SW New Programmes
P08 S500077,ERDF - EMids New Programmes
P08 S500078,ERDF - WMids New Programmes
P08 S500079,ERDF - Y&H New Programmes
P08 S500081,Decent Mixed Communities
P08 S500082,Support for Voluntary & Community Sector Sustainability
P08 S500084,Housing Strategy for Older People
P08 S500085,Tenant Services Authority
P08 S500088,Sustainable Communities Bill
P08 S500089,Tenant Empowerment
P08 S500090,Cohesion & Race Equality
P08 S500091,P08 S500091CLG & GO Restructuring
P08 S500094,Growth Areas New Growth Points & ECO Towns
P08 S500095,Fire Centre of Excellence
P08 S500096,Shanghai Expo 2010
P08 S500097,Economic Development Duty
P08 S500105,Home & Communities Agency
P08 S500206,Zero Carbon Buildings
P08 S500207,Regional Assemblies
P08 S500208,HCA: former Housing Corporation programmes
P08 S500210, HCA: Property & Regeneration (ExEP)
P08 S500211,HCA: Innovation for specialised housing
P08 S500216,Renewing Neighbourhoods
P08 S500218,Regeneration Strategy
P08 S500221,Sub National Economic Development
P08 S500222,Regeneration Monitoring and Digital Inclusion
P08 S500227,The Commission for Local Administration in England
P08 S500228,Infrastructure Planning Commision
P08 S500229,Homeowners Mortgage Support
P08 S500232,HCA Gypsy site grant Non Voted
P08 S500233,HCA Homelessness & Housing Reform Non Voted
P08 S500234,HCA Thames Gateway (Direct Funding) Non Voted
P08 S500236,HCA Growth Areas New Growth Points & ECO towns Non Voted
P08 S500238,HCA: Kickstart
P08 S500239,HCA:Housing Environment Package
P09 S060312,Office of the rail regulator (ORR)
P10 S090111,Coroners' Courts
P10 S090114,Research and statistics
P10 S090301,Police
P10 S090304,School crossing patrols
P10 S090307,Forensic Science Service
P10 S090310,Organised and international crime
P10 S090314,Police Information Technology Organisation
P10 S090316,Criminal Records Bureau (CRB)
P10 S090319,Central Police Training and Development Agency
P10 S090320,National Criminal Intelligence Service
P10 S090321,National Crime Squad
P10 S090322,Organised Crime (Drugs)
P10 S090326,Crime Reduction
P10 S090327,Security Industry Authority
P10 S090328,Independent Police Complaints Commission
P10 S090329,Serious Organised Crime Agency (SOCA)
P10 S090501,Immigration and Nationality
P10 S090502,UK Passport agency
P10 S090503,Office of the Immigration Services Commissioner
P10 S090504,Work Permits
P10 S090505,Asylum Support Payments
P10 S090506,European Refugee Fund EU Expenditure
P10 S090507,IPS ID Cards
P10 S090705,Office for the Data Protection Registrar
P10 S090706,Electoral Commission
P10 S090710,ID Cards
P10 S090711,crime reduction
P10 S090712,safety routes incl school crossing patrols
P10 S090801,Central Services
P10 S090803,Police and Fire superannuation
P10 S090804,Registration of electors (Local Authority)
P10 S090807,DEPARTMENTAL UNALLOCATED PROVISION
P10CRCSG,P10 Crime Reduction and Community Safety
P10LAE,P10 Local Authority Expenditure
P11 S090161,Operation
P11 S090162,Support
P12 S130400,"Records, registrations and surveys"
P13,PO Ministry of Justice
P13 S090101,"Policy, Corporate Services and Associated Offices"
P13 S090102,COSTS FROM CENTRAL FUNDS
P13 S090106,Legal Services Commission: administration (was Legal aid: adminis...
P13 S090108,Court Service Agency - DO NOT USE
P13 S090110,Magistrates Courts Grants - DO NOT USE
P13 S090132,DUP - Other current expenditure
P13 S090136,Criminal Defence Service
P13 S090137,Community Legal Service
P13 S090142,Judicial salaries paid from the consoldiated fund - LCD departmen...
P13 S090143,Judicial Salaries paid from the consolidated Fund - Court Service -
P13 S090145,Office of the Public Guardian and Court of Protection
P13 S090146,Office of the Information Commissioner
P13 S090156,Judicial Pension Schemes
P13 S090166,HM Courts Service
P13 S090167,Judicial Costs HM Courts Service - DO NOT USE
P13 S090168,Judicial Costs Court Service - DO NOT USE
P13 S090169,Libra - DO NOT USE
P13 S090170,HM Courts Service Accruing Superannuation Liability Charge - DO NOT
P13 S090171,Boundary Commission for England
P13 S090172,Boundary Commission for Wales
P13 S090173,Tribunals Service
P13 S090174,Judicial Appointments Commission
P13 S090175,Legal Services Board
P13 S090176,Office of Legal Complaints
P13 S091101,Criminal Justice Group
P13 S091105,CICA
P13 S091107,
P13 S091114,Research and statistics - DO NOT USE
P13 S091134,CCRC
P13 S091135,YJB
P13 S091147,NPS (Local Area Boards)
P13 S091152,
P13 S091160,
P13 S091163,NOMS HQ
P13 S091164,NOMS Operations
P13 S091201,HMPS
P13 S091202,Prisons Private
P13 S091209,
P13 S091211,Parole Board
P13 S091801,Central Services - DO NOT USE
P13 S130101,Functioning of parliament & Privy Council - DO NOT USE
P15 S090112,Judicial salaries paid from the Consolidated Fund
P15 S090139,Northern Ireland Court Service: grants to sundary bodies
P15 S090164,Operation of the Courts
P15 S090165,Legal Services Commission
P15 S090173,Judicial Appointments Commission
P16 S130400,"Records, registrations and surveys"
P16 S130404,Office of Public Sector Information
P17 S090102,COSTS FROM CENTRAL FUNDS
P17 S090806,Law Officers Administration
P18 S090102,COSTS FROM CENTRAL FUNDS
P18 S090806,Law Officers Administration
P19 S090116,Treasury Solicitors Department (Agency)
P19 S090120,National Fraud Strategic Authority
P19 S090123,EXPENDITURE OUTSIDE RUNNING COSTS
P19 S090138,Crown Prosecution Service Inspectorate Administration
P19 S090806,Law Officers Administration
P20 S010101,Met Office
P20 S010103,Hydrographer  Office Trading Fund capital expenditure
P20 S010104,"Navy, Army, Airforce Institute (NAAFI)."
P20 S010105,Defence Scientific and Technology Laboratories
P20 S010106,Defence Aviation Repair Agency
P20 S010107,QinetiQ private co. owned by MOD
P20 S010108,"Royal Hospital , Chelsea"
P20 S010111,Fleet Air Arm Musuem
P20 S010112,Army Base Repair
P20 S010113,Creation of MOD DUP
P20 S010120,RCFA Costs
P20 S010130,Commonwealth Wargraves Commission
P20 S010501,Commander-in-Chief Fleet
P20 S010502,General Officer commanding (Northern Ireland)
P20 S010503,Commander -in- Chief Land Command
P20 S010504,Air Officer Commanding-in-Chief RAF Strike Command
P20 S010506,2ND Sea Lord/Commander-in-Chief Naval Home Command
P20 S010507,Adjutant General (Personnel & Training Command)
P20 S010508,Air Officer Commanding-in-Chief RAF Personnel & Training Command
P20 S010509,2nd Permanent Under Secretary of State
P20 S010514,DEFENCE PROCUREMENT AGENCY OP COSTS & NUCLEAR WARHEAD & FISSILE M...
P20 S010531,CHIEF OF JOINT OPERATIONS
P20 S010532,CHIEF OF DEFENCE LOGISTICS
P20 S010534,Corporate Science and Technology
P20 S010535,Defence Estates
P20 S010536,P20 S010536Alias to be determined
P20 S010539,Air Command TLB
P20 S010729,"Retired pay, pensions etc to Service Personnel and dependants"
P20 S010901,War Pensions Agency - Programme Costs
P20 S010902,War Pensions Agency Programme Costs ( Far East Prisoners of War)
P20 S01537,Defence Materiel Agency
P20 S020519,Conflict Prevention Programme Exp: Africa
P20 S020520,Conflict Prevention Programme Exp: Global
P20 S020522,Peace Keeping Africa
P20 S020523,Peace Keeping Global
P20 S029999,P20 Mil Ops
P20 S10116,Royal Marine Museum NDPB
P20 S10117,National Army Museum NDPB
P20 S10118,Royal Air Force Museum NDPB
P20 S10430,Misistry of Defence Administration Budget
P20 S11401,Royal Naval Museum NDPB
P20 S115,RN Submarine Museum ndpb
P20 S11901,Oil and Pipeline Agency NDPB
P20 S20524,Defence Stablisation Fund
P22 S020101,Overseas representation
P22 S020103,Wilton Park Executive Agency
P22 S020104,GHF AND LANCASTER HOUSE
P22 S020107,RfR1 Departmental unallocated Provision
P22 S020201,Other external relations
P22 S020203,"FCO (International subscriptions, etc)"
P22 S020210,Schloarships
P22 S020211,Common Foreign and Security Policy
P22 S020212,Consular & Visa (Full Cost)
P22 S020301,BBC World Service: grant in aid: Broadcasting
P22 S020303,BBC WORLD SERVICE : MONITORING SERVICE SUBSCRIPTION
P22 S020401,British Council
P22 S020519,Conflict Prevention Programme Exp: Africa
P22 S020520,Conflict Prevention Programme Exp: Global
P22 S020521,FCO Conflict Prevention Global DUP
P22 S020522,Peace Keeping Africa
P22 S020523,Peace Keeping Global
P22 S020601,Area Based Stabilisation Fund
P23 S020201,Other external relations
P23 S020504,EC budgetised Aid attributed to DFID (non-voted)
P23 S020509,International Assistance for the Environment (voted)
P23 S020513,CFER: unallocated
P23 S020518,DFID Conflict Prevention Africa DUP
P23 S020532,Reduce poverty in sub-Saharan Africa (voted)
P23 S020533,Reduce poverty in Asia (voted)
P23 S020534,Reduce Poverty in the Rest of the World (voted)
P23 S020535,Improve Effectiveness of Multilaterals (voted)
P23 S020536,Evidence Based Innovation (voted)
P23 S020537,Central departments expenditure (voted)
P23 S020538,Other programme expenditure (voted)
P23 S020539,DFID unallocated Capital
P23 S020541,Post Conflict Reconstruction
P23 S020542,Departments Unallocated Provision (DUP)
P23 S020544,CDC Classification
P23 S020545,Actis Classification Capital Expenditure
P23 S020548,Conflict Prevention and Stabilisation
P23IFFI,International Finance Facility for Immunisation
P25 S010337,National Endowments for Science Technology & the Arts
P25 S040117,Regional selective assistance
P25 S040124,ERDF Structural Funds (DCLG Vote) Central Government
P25 S040127,Regional Development Agencies
P25 S040128,Regional Innovation Fund
P25 S040129,Ring fenced administration costs
P25 S040205,Civil aircraft research and demonstration
P25 S040208,Telecommunications and posts
P25 S040209,Space technology programmes
P25 S040211,UKAEA - Decommissioning
P25 S040218,Biotechnology and biological sciences research council
P25 S040219,Economic and social research council
P25 S040220,Engineering and physical sciences research council
P25 S040221,Medical research council
P25 S040222,Natural environment research council
P25 S040223,Particle physics and astronomy research council
P25 S040224,Council for the central laboratory of the research councils
P25 S040225,Swindon Research Council's pensions scheme
P25 S040226,Royal society
P25 S040227,Royal academy of engineering
P25 S040228,OST initiatives
P25 S040233,United Kingdom Atomic Energy Authority
P25 S040234,Medical Research Council (EU DEL Cover)
P25 S040235,Natural Environmental Research Council (EU DEL Cover)
P25 S040237,Council for the Central Laboratory of the Research Councils (EU D...
P25 S040240,JOINT INFRASTRUCTURE FUND
P25 S040241,UNIVERSITY CHALLENGE
P25 S040242,DEPARTMENTAL UNALLOCATED PROVISION- SCIENCE
P25 S040243,Science enterprise challenge scheme
P25 S040244,SPECTRUM EFFICENCY SCHEME
P25 S040248,Administration Costs and Other Services related to the Science an...
P25 S040250,Administraion Costs and other services related to Trans Departmen...
P25 S040253,EURATOM (European Nuclear Fusion)
P25 S040256,Cambridge Massachusetts Institute for technology
P25 S040257,Diamond Synchrotron - CCLRC
P25 S040258,Post Office Consultancy and Other expenditure
P25 S040261,Post Office Network
P25 S040267,Technology Strategy
P25 S040268,Higher Education Innovation Fund
P25 S040269,Exploitation of Discoveries at Public Sector Research Establishments
P25 S040270,Foresight Link Awards
P25 S040271,Science Research Investment Fund
P25 S040272,Delivering sustainability - Science DUP
P25 S040273,Science and Engineering Research DUP
P25 S040274,Roberts Review Science DUP
P25 S040275,Diamonds/Large Facilities/Research Councils Institutes DUP
P25 S040277,Business Growth (Sustainability)
P25 S040278,Non ring fenced Business Growth
P25 S040281,Arts and Humanities Research Council
P25 S040284,Science and Society
P25 S040285,Science and Technology Facilities Council
P25 S040286,British Academy
P25 S040287,Shareholder Executive
P25 S040302,Aerospace support
P25 S040305,Assistance to ship building industry
P25 S040307,Assistance to the steel industry
P25 S040308,Strategic Investment Fund
P25 S040309,Support to the Automotive Industry
P25 S040414,Enterprise Fund/SFLGS
P25 S040516,UK Trade and Investment
P25 S040602,Consumer Protection
P25 S040603,Companies House
P25 S040605,Patent office executive agency
P25 S040610,Research Establishments Major Capital
P25 S040615,National Weights and Measures Laboratory
P25 S040616,TRADE POLICY
P25 S040622,Bulk transfer of pension liabilities to the Principal Civil Servi...
P25 S040625,Office of Communications (Ofcom)
P25 S040627,Investor Protection
P25 S040629,P25 Consumer Focus
P25 S040703,Employment Policies
P25 S040708,Redundancy Funds
P25 S040712,Trawlermen Compensation Scheme
P25 S040713,Paternity and Maternity Pay
P25 S040714,Advisory Conciliation and Arbitration Service
P25 S040801,"Non-attributable administration costs, central programme and cap..."
P25 S040803,LRM and OME costs
P25 S040804,Suppliers of Departmental Services
P25 S040812,Insolvency Service Executive Agency
P25 S040814,DTI NON-SCIENCE UNALLOCATED PROVISION.
P25 S040815,ENEMY PROPERTYCLAIMS
P25 S041306,British Shipbuilders (Merchant)
P25 S041311,Post Office
P25 S041317,British Nuclear Fuels Ltd (BNFL)
P25 S041501,Small Business Service
P25 S100206,student loans
P25 S100207,Grant to the Higher education funding council
P25 S100208,Further Education Miscellaneous (including grants to travellers)
P25 S100209,Local Authority current expenditure on Adult Education
P25 S100210,Administration of the Student Loans Company
P25 S100213,Central Govt. Higher Education Programmes (inc Engineering Barsar...
P25 S100214,Higher Education Learning Fund
P25 S100217,POST GRADUATE AWARDS
P25 S100218,"Higher Education Grants, Fees and Awards"
P25 S100225,Student Loan Debt Sale
P25 S100226,The Learning and Skills Council - replacement for the Further Edu...
P25 S100228,Sector Skills Development Agency
P25 S100229,HE: Europe and International Services
P25 S100230,Alias to be determined
P25 S100233,Education in Prisons and Custodial Institutions
P25 S100234,Learning and Skills Council (LSC) Further Education
P25 S100235,LSC Adult Education
P25 S100239,Grant to the Office For Fair Access to Higher Education
P25 S100240,Central Government 'Student Fee Loans'
P25 S100301,Misc Progs aimed at equipping children for Adult life (inc.ITin S...
P25 S100404,Compensation to college of education staff
P25 S100413,Miscelleaneous International Education Programmes (inc.European S...
P25 S100702,European University Initiative Subscription
P25 S100703, European University Initiative Bursaries
P25 S100704,BRITISH ACADEMY
P25 S102006,Publicity and Research
P25 S102034,Construction Industry Training Board
P25 S102035,Engineering Construction Industry Training Board
P25 S102201,ESF Admin Payments and ILO Subscription
P25 S102603,CAREER DEVELOPMENT FOR ADULTS
P25 S102609,IMPROVING THE TRAINING MARKET
P25 S102613,Union Learning Fund
P25 S102615,LSC Training - Young People
P25 S102616,LSC Training - Adults
P25 S102617,LSC - Learning and Skills Council Training/Other
P25 S102703,University for Industry
P25 S1102500,Quality Improvement Agency
P25 S130331,Better Regulation
P25 S181300,UKAEA Superannuation Funds
P26 S040206,Inward Investment
P26 S040501,Trade Development
P28 S040505,Fixed rate export finance
P28 S040513,GEFCO - expenditure on loan re-financing
P28 S040518,ECGD
P28 S040801,Legal and Regulatory Framework and Markets
P29 S040602,Consumer Protection
P31 S040604,OFGEM POST MERGER
P31CLI1,P31CCL VOTE RFR CCL1
P31DTI1,P31DTI PAYOVER DTI1
P32 S040618,Postal Services Commission
